BAY-850;ATAD2;www.thesgc.org/chemical-probes/BAY-850;;;none
GSK8814;ATAD2;www.thesgc.org/chemical-probes/GSK8814;;;Protein targets: ATAD2, ATAD2B
GSK8814;ATAD2B;www.thesgc.org/chemical-probes/GSK8814;;;Protein targets: ATAD2, ATAD2B
BAZ2-ICR;BAZ2A;www.thesgc.org/chemical-probes/BAZ2-ICR;www.chemicalprobes.org/BAZ2-ICR;;Protein targets: BAZ2A, BAZ2B
BAZ2-ICR;BAZ2B;www.thesgc.org/chemical-probes/BAZ2-ICR;www.chemicalprobes.org/BAZ2-ICR;;Protein targets: BAZ2A, BAZ2B
GSK2801;BAZ2A;www.thesgc.org/chemical-probes/GSK2801;;;Protein targets: BAZ2A, BAZ2B
GSK2801;BAZ2B;www.thesgc.org/chemical-probes/GSK2801;;;Protein targets: BAZ2A, BAZ2B
BAY-299;BRD1;www.thesgc.org/chemical-probes/BAY-299;;;Protein targets: BRD1, TAF1
BAY-299;TAF1;www.thesgc.org/chemical-probes/BAY-299;;;Protein targets: BRD1, TAF1
JQ1;BRD2;www.thesgc.org/chemical-probes/JQ1;www.chemicalprobes.org/JQ1;;Protein targets: BRD2, BRD3, BRD4, BRDT
JQ1;BRD3;www.thesgc.org/chemical-probes/JQ1;www.chemicalprobes.org/JQ1;;Protein targets: BRD2, BRD3, BRD4, BRDT
JQ1;BRD4;www.thesgc.org/chemical-probes/JQ1;www.chemicalprobes.org/JQ1;;Protein targets: BRD2, BRD3, BRD4, BRDT
JQ1;BRDT;www.thesgc.org/chemical-probes/JQ1;www.chemicalprobes.org/JQ1;;Protein targets: BRD2, BRD3, BRD4, BRDT
PFI-1;BRD2;www.thesgc.org/chemical-probes/PFI-1;www.chemicalprobes.org/PFI-1;;Protein targets: BRD2, BRD3, BRD4, BRDT
PFI-1;BRD3;www.thesgc.org/chemical-probes/PFI-1;www.chemicalprobes.org/PFI-1;;Protein targets: BRD2, BRD3, BRD4, BRDT
PFI-1;BRD4;www.thesgc.org/chemical-probes/PFI-1;www.chemicalprobes.org/PFI-1;;Protein targets: BRD2, BRD3, BRD4, BRDT
PFI-1;BRDT;www.thesgc.org/chemical-probes/PFI-1;www.chemicalprobes.org/PFI-1;;Protein targets: BRD2, BRD3, BRD4, BRDT
I-BRD9;BRD9;www.thesgc.org/chemical-probes/I-BRD9;www.chemicalprobes.org/I-BRD9;;none
BI-9564;BRD9;www.thesgc.org/chemical-probes/BI-9564;www.chemicalprobes.org/BI-9564;;Protein targets: BRD9, BRD7
